name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,ds_id_add,structured_value_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Bolton, John",former owner,,,,,,,,human,John Bolton,Q130387460,Q54689
"Minns, Susan",former owner,,,,,,,,human,Susan Minns,Q97586047,Q20190
"Bono Giamboni, approximately 1240-approximately 1292",author,,,,,,,,human,Bono Giamboni,Q3642199,Q68641
"Jazūlī, Muḥammad ibn Sulaymān, 1404-1465",author,جزولي، محمد بن سليمان. 1404-1465,,,,,,,human,Muhammad al-Jazuli,Q1775944,Q18651
"Boccaccio, Giovanni, 1313-1375",author,,,,,,,,human,Giovanni Boccaccio,Q1402,Q418
"Canonici, Matteo Luigi, 1727-1805",former owner,,,,,,,,human,Matteo Luigi Canonici,Q55226394,Q890
"Sneyd, Walter, 1809-1888",former owner,,http://id.loc.gov/authorities/names/n90636281,,,,,,human,Walter Sneyd,Q62619661,Q891
"Simkhovitch, Vladimir G. 1874-1959",former owner,,,,,,,,human,Vladimir G. Simkhovitch,Q55946657,Q68646
"Smith, G. D",former owner,,,,,,,,human,G. D. Smith,Q131856752,Q68647
"Otto III, Holy Roman Emperor, 980-1002",author,,http://id.loc.gov/authorities/names/n84143829,,,,,,human,Otto III,Q151090,Q8416
"Payne, J. T",former owner,,,,,,,,human,J. T. Payne,Q131856748,Q68636
"Medlicott, William Gibbons, 1816-1883",former owner,,,,,,,,human,William Gibbons Medlicott,Q124566879,Q41246
"Basilica of Ss. Bonifacio e Alessio all'Aventino (Rome, Italy)",former owner,,,,,,,,organization,Santi Bonifacio e Alessio,Q1076439,Q68671
YaʼItyop̣yā ʼortodoks tawāḥedo béta kerestiyān,author,,,organization,Ethiopian Orthodox Tewahedo Church,DSNAME9275,Q179829,Q114401,,,,
"Gventer, Bruce",former owner,,,,,,,,,,,
"Petrarca, Francesco, 1304-1374",author,,,,,,,,human,Petrarch,Q1401,Q16486
"Plimpton, George A. 1855-1936",former owner,,,,,,,,human,George Arthur Plimpton,Q5536449,Q16572
"Plimpton, Francis T. P. 1900-1983",former owner,,,,,,,,human,Francis Taylor Pearsons Plimpton,Q5482549,Q54690
"Charles V, Holy Roman Emperor, 1500-1558",author,,,,,,,,human,Charles V,Q32500,Q7656
"Tagore, Rabindranath, 1861-1941",author,,,human,Rabindranath Tagore,DSNAME9276,Q7241,Q114402,,,,
"Martini, J",former owner,,,,,,,,human,J. Martini,Q115960451,Q16575
"Jalāl al-Dīn Rūmī, Maulana, 1207-1273",author,جلال الدين رومى، مولانا. 1207-1273,,,,,,,human,Rumi,Q43347,Q27901
"Marcaldi, Francesco, active 16th century",author,,http://id.loc.gov/authorities/names/no2009086989,,,,,,human,Francesco Marcaldi,Q116453021,Q7330
"Thomson, J., active 1838",former owner,,,,,,,,human,J. Thomson,Q131856749,Q68638
"Wilde, Richard Henry, 1789-1847",former owner,,,,,,,,human,Richard Henry Wilde,Q1693934,Q68639
"Wilde, William Cumming, 1823-1861",former owner,,,,,,,,human,William Cumming Wilde,Q131822034,Q68640
Rucellai family,former owner,,,,,,,,organization,House of Rucellai,Q3942219,Q68670
"Alberti, Leon Battista, 1404-1472",author,,,,,,,,human,Leon Battista Alberti,Q182046,Q40103
"Cora, Luigi",former owner,,,,,,,,human,Luigi Cora,Q102279780,Q20278
"Crychton, David, Vicar",author,,,,,,,,human,David Crychton,Q131856743,Q68627
"Elizabeth I, Queen of England, 1533-1603",author,,,,,,,,human,Elizabeth I of England,Q7207,Q40584
"Richard, of Saint-Laurant, -1174",author,,,,,,,,human,Richard de Saint-Laurent,Q3431370,Q42291
"Hazard, Margaret R., 1834-1895",former owner,,,,,,,,human,Margaret Anna Hazard,Q112810132,Q54687
"Hazard, Rowland, 1829-1898",former owner,,,,,,,,human,Rowland Hazard,Q109858645,Q54688
Ali al-Khlusi,author,,,,,,,,,,,
Muhammad Hilmi,author,,,,,,,,,,,
"Peter Damian, Saint, 1007?-1072",author,,,,,,,,human,Peter Damian,Q258369,Q839
"Phillipps, Thomas, Sir, 1792-1872",former owner,,http://id.loc.gov/authorities/names/n50078542,,,,,,human,Thomas Phillipps,Q2147709,Q385
"Donatus, Tiberius Claudius",author,,,,,,,,human,Tiberius Claudius Donatus,Q1116711,Q54685
"Dyckman, Fannie Fredericka, -1951",former owner,,,,,,,,human,Fannie Fredericka Dyckman,Q130360359,Q54691
"Govro, Jeanne, active 17th century",former owner,,,,,,,,human,Jeanne Govro,Q131856754,Q68655
"Lambert, Henri",former owner,,,,,,,,human,Henri Lambert,Q131856755,Q68656
"Lewis, John James",former owner,,,,,,,,human,John James Lewis,Q130387478,Q54686
"Ovid, 43 B.C.-17 A.D. or 18 A.D.",author,,,,,,,,human,Ovid,Q7198,Q41379
